"id","name","publisher","url","category","audience","access_model","free_scope","access_notes","starter_task","reviewed_on","source_titles","source_urls","source_dates","source_support"
"exercism","Exercism","Exercism","https://exercism.org/","Digital and professional foundations","Developers; IT operators","free-account","Free programming exercises, automated feedback and community mentoring.","Use a free learner account and browser editor or local tools. Mentor availability is not a support SLA; separate team offerings are not established as free here.","Solve a small parsing exercise, then explain how you would handle a missing or malformed fictional asset record.","2026-09-19","Exercism — official learning information","https://exercism.org/","unknown","Official site states free practice and mentoring and describes browser and local exercise routes."
"freecodecamp","freeCodeCamp","freeCodeCamp","https://www.freecodecamp.org/learn/","Digital and professional foundations","Developers; IT operators","free-account","Coding curriculum, exercises and project-based learning.","Public lessons are available; a free account is used to save curriculum progress. Donations are optional; employer-managed learning reporting is not established by this directory.","Build an accessible fictional help-desk request page and test the keyboard flow.","2026-09-19","freeCodeCamp — official access and learning information","https://www.freecodecamp.org/news/about/","unknown","Official FAQ describes the free coding curriculum and nonprofit learning model."
"full-stack-open","Full Stack Open","University of Helsinki","https://fullstackopen.com/en/","Digital and professional foundations","Developers","public","Free full-stack web-development course material and exercises; completion certificates under course rules.","Submission uses GitHub and the course system; assumes prior programming and Git knowledge. Academic credit has additional registration and exam requirements. Hosting costs and commercial redistribution permissions are separate.","Build a local fictional software-request service and explain how its API validates input.","2026-09-19","Full Stack Open — official learning information","https://fullstackopen.com/en/part0/general_info/","unknown","States free course and certificate, prerequisites, exercise submissions and separate academic-credit requirements."
"google-skillshop","Google Skillshop","Google","https://skillshop.withgoogle.com/","Digital and professional foundations","Marketing; Analysts","free-account","Free Google Ads and Google Analytics e-learning; foundational certifications where specified.","Use the applicable Skillshop account flow. Professional proctored certifications and advertising spend are separate; this does not promise that every Google training product is free.","Define an event and conversion for a fictional website, then explain what the metric cannot prove.","2026-09-19","Google Skillshop — official learning information | Google Analytics Academy | Professional certifications for Skillshop","https://skillshop.withgoogle.com/googleads/ | https://support.google.com/analytics/answer/15440208?hl=en | https://support.google.com/skillshop/answer/14746215?hl=en","unknown | unknown | unknown","Official program page explicitly identifies free Google Ads training. | Identifies free Analytics e-learning on Skillshop. | Distinguishes professional certification requirements from free foundational certifications."
"harvard-cs50","Harvard CS50 OpenCourseWare","Harvard University","https://cs50.harvard.edu/x/","Digital and professional foundations","Developers; IT operators","public","Free computer-science lectures, problem sets and project guidance.","Public material is open to non-Harvard learners. Submission and feedback services have account requirements; verified certificates and academic credit are separate options.","Build a small program using fictional inventory records and explain its input-validation rules.","2026-09-19","Harvard CS50 OpenCourseWare — official access and learning information","https://cs50.harvard.edu/x/","unknown","2026 course page explicitly permits free OpenCourseWare study and distinguishes submission accounts, verified certificates and academic-credit routes."
"hp-life","HP LIFE","HP Foundation","https://www.life-global.org/","Digital and professional foundations","All employees; Small-team managers","free-account","Free business, communication, digital and AI skills courses with completion certificates.","The free learning program is separate from HP hardware or business subscriptions. Enroll through the program to keep a completion record.","Create a one-page fictional service improvement proposal that states the customer problem and expected benefit.","2026-09-19","HP LIFE — official access and learning information","https://www.life-global.org/","unknown","States courses and completion certificates are free and identifies business/digital topics."
"khan-academy","Khan Academy","Khan Academy","https://www.khanacademy.org/","Digital and professional foundations","Analysts; Employees building digital confidence","free-account","Free foundational mathematics, statistics, economics and computing learning.","Public material can be browsed; an account supports learning progress. This entry covers the core free platform, not every tutoring, district or AI add-on.","Explain a percentage change and probability statement using a fictional service-performance report.","2026-09-19","Khan Academy — official access and learning information","https://www.khanacademy.org/about","unknown","Describes a free platform for anyone and identifies mathematics, economics, computing and other subject areas."
"learnfree","LearnFree","LearnFree","https://www.learnfree.org/","Digital and professional foundations","All employees","public","Free lessons in computer basics, Office and Google tools, workplace communication and numeracy.","Some product tutorials cover older versions; choose the edition your organization uses. Optional product software and internal learning reporting are separate.","Explain sharing and file-version basics using a fictional team document.","2026-09-19","LearnFree — official learning information","https://www.learnfree.org/","unknown","Free practical skills portal lists workplace, computer, Office and Google topics, including version-specific courses."
"mdn-learn","MDN Learn Web Development","MDN / Mozilla","https://developer.mozilla.org/en-US/docs/Learn_web_development","Digital and professional foundations","Developers; Web content owners","public","Public web-development modules, code examples and challenges.","The linked MDN material is public; paid partner courses or premium services are separate. Use a local editor/browser for exercises.","Audit a fictional request form for labels, keyboard operation and helpful validation errors.","2026-09-19","MDN Learn Web Development — official access and learning information","https://developer.mozilla.org/en-US/docs/Learn_web_development","2025-10-29","Public learning area provides core modules, challenges and downloadable examples; separately links partner offerings."
"mit-opencourseware","MIT OpenCourseWare","Massachusetts Institute of Technology","https://ocw.mit.edu/","Digital and professional foundations","Analysts; Developers; Managers","public","Open university course materials, including computing, statistics and management.","No enrollment or account required. OCW does not award MIT credit or certification; external books and tools may have separate costs. Follow each resource's reuse license before copying it into an internal LMS.","Choose a statistics lesson and explain why an average alone can hide service-response outliers.","2026-09-19","MIT OpenCourseWare — official access and learning information","https://ocw.mit.edu/about/","unknown","States open free materials, no registration, and no credit or certification."
"openhpi","openHPI","Hasso Plattner Institute","https://open.hpi.de/","Digital and professional foundations","IT operators; Developers; Managers","free-account","Free self-paced courses on IT, cybersecurity, AI and innovation.","Use an account for interactive courses. Check current course availability, language, prerequisites and certificate rules; older offerings can be retired.","Explain one emerging technology to a fictional management team and state a useful evaluation question.","2026-09-19","openHPI — official learning information","https://open.hpi.de/","unknown","States free IT and innovation learning, course levels and subject areas."
"openlearn","OpenLearn","The Open University","https://www.open.edu/openlearn/","Digital and professional foundations","All employees; Managers","free-account","Free courses and learning resources in digital skills, business, study skills and other subjects.","Read resources publicly; a free profile enables enrollment, progress and eligible badges or statements. These are distinct from a paid Open University qualification.","Take a work-skills lesson and produce a short teach-back explaining one improved team practice.","2026-09-19","OpenLearn — official access and learning information","https://www.open.edu/openlearn/","unknown","Lists free courses, free profile/enrollment/progress and badges or participation statements on most courses."
"saylor","Saylor University — skill development","Saylor University","https://learn.saylor.org/","Digital and professional foundations","All employees; Managers; Analysts","free-account","Free self-paced skill-development courses in business, computing and professional development.","This entry covers the learning catalog. Enrollment uses an account; credit transfer, proctoring and degree pathways have separate requirements and can involve third-party fees.","Use a business communication lesson to rewrite a fictional escalation so its requested decision and next step are clear.","2026-09-19","Saylor University — skill development — official learning information | FAQ – Saylor Direct Credit","https://learn.saylor.org/ | https://support.saylor.org/hc/en-us/articles/23597374410900-FAQ-Saylor-Direct-Credit","unknown | 2026-05-28","The official learning portal identifies free courses, self-paced access and subject areas. | Distinguishes free course and certificate learning from a separately proctored credit exam with third-party fees and institution-specific transfer acceptance."
"semrush-academy","Semrush Academy","Semrush","https://www.semrush.com/academy/","Digital and professional foundations","Marketing; Web content owners","free-account","Free digital-marketing courses and learning resources.","A Semrush account is used for enrollment. The product's trial and paid analytics features are separate from Academy course access.","Draft a keyword-and-content brief for a fictional service page and explain what evidence would change it.","2026-09-19","Semrush Academy — official learning information","https://www.semrush.com/academy/faq/","unknown","FAQ explicitly states free courses and account enrollment; the separate product trial is not the training entitlement."
"the-odin-project","The Odin Project","The Odin Project","https://www.theodinproject.com/","Digital and professional foundations","Developers; IT operators","public","Free open-source full-stack curriculum and projects.","Read without purchasing a course. Local tools and a development environment are needed for projects; optional hosted deployment services have their own terms.","Create a fictional team knowledge page, keep it in Git and document a change.","2026-09-19","The Odin Project — official access and learning information","https://www.theodinproject.com/about","unknown","Describes a free comprehensive open-source curriculum with practical projects."
"w3c-wai-tutorials","W3C WAI accessibility tutorials","W3C Web Accessibility Initiative","https://www.w3.org/WAI/tutorials/","Digital and professional foundations","Web content owners; Developers; Designers","public","Public practical tutorials for accessible images, tables, forms and page structure.","Tutorial reading is open. Applying a technique is not a complete accessibility audit or conformance claim; test with the relevant tools and users.","Review a fictional training page for text alternatives, headings and form labels; explain one remaining accessibility question.","2026-09-19","W3C WAI accessibility tutorials — official learning information","https://www.w3.org/WAI/tutorials/","2026-08-26","Official tutorials connect common web tasks to accessibility techniques and examples."
"w3schools","W3Schools tutorials","W3Schools","https://www.w3schools.com/","Digital and professional foundations","Developers; Analysts; IT operators","public","Free tutorials, references, browser examples and exercises across web, SQL and programming basics.","Tutorial access is free; certificates, PLUS features, additional hosting and organization products are separate paid offerings. An account can track progress.","Write a SQL query against fictional software requests and explain how missing values change the result.","2026-09-19","W3Schools tutorials — official access and learning information","https://www.w3schools.com/about/","unknown","Official about page labels tutorials free and separates upgrades, certification and organization services."
